10:34:46 | tspd | 01/04/2017 08:00,1.818,2.749,4.81,6.298,80,25.4 | 01/04/2017 08:30,1.703,2.819,5.068,7.022,129,25.45 | 01/04/2017 09:00,1.845,3.41,5.046,6.297,105,25.45 | 01/04/2017 09:30,1.723,3.08,5.166,6.178,113,25.4 | 01/04/2017 10:00,1.674,2.718,4.849,6.641,118,25.4
10:34:56 | tspd | 01/04/2017 10:30,1.753,3.22,5.115,5.467,73,25.3 | 01/04/2017 11:00,1.651,2.88,4.952,5.907,90,25.3 | 01/04/2017 11:30,1.866,3.05,5.099,6.848,80,25.3 | 01/04/2017 12:00,1.802,2.72,4.989,6.776,87,25.3 | 01/04/2017 12:30,1.798,3.22,4.786,6.769,95,25.3
10:35:06 | tspd | 01/04/2017 13:00,1.802,3.44,5.081,5.989,125,25.3 | 01/04/2017 13:30,1.732,2.56,4.935,5.622,122,25.3 | 01/04/2017 14:00,1.841,2.987,5.075,6.383,129,25.3 | 01/04/2017 14:30,1.728,3.37,5.087,6.372,106,25.3 | 01/04/2017 15:00,1.719,2.91,4.925,5.479,140,25.4
10:35:16 | tspd | 01/04/2017 15:30,1.763,3.341,5.127,6.786,118,25.4 | 01/04/2017 16:00,1.826,2.71,5.015,5.969,104,25.4 | 01/04/2017 16:30,1.714,2.69,5.006,5.494,130,25.35 | 01/04/2017 17:00,1.745,3.77,5.017,7.575,120,25.35 | 01/04/2017 17:30,1.73,2.69,4.894,6.131,75,25.3
10:35:26 | tspd | 01/04/2017 18:00,1.831,3.15,5.008,6.733,95,25.2 | 01/04/2017 18:30,1.825,3.24,5.211,7.006,87,25.05 | 01/04/2017 19:00,1.782,2.784,5.174,6.404,83,25 | 01/04/2017 19:30,1.756,2.918,4.874,5.76,105,25 | 01/04/2017 20:00,1.952,3.472,5.017,6.341,112,25.1
10:35:36 | tspd | 01/04/2017 20:30,1.722,2.89,5.141,7.276,113,25.15 | 01/04/2017 21:00,1.738,2.89,5.083,6.572,111,25.15 | 01/04/2017 21:30,1.718,3.1,5.159,6.15,101,25.15 | 01/04/2017 22:00,1.679,2.969,5.136,6.12,71,25.2 | 01/04/2017 22:30,1.737,3,5.208,6.984,105,25.15
10:36:31 | bbn | 01/01/2017 00:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9 | 01/01/2017 00:30,0.875,1.39,4.421,4.506,-99.9,-99.9 | 01/01/2017 01:00,0.763,1.15,4.52,5.513,49,25.65 | 01/01/2017 01:30,0.77,1.41,4.582,5.647,75,25.5 | 01/01/2017 02:00,0.747,1.16,4.515,5.083,91,25.45
10:36:41 | bbn | 01/01/2017 02:30,0.718,1.61,4.614,6.181,68,25.45 | 01/01/2017 03:00,0.707,1.34,4.568,4.705,73,25.5 | 01/01/2017 03:30,0.729,1.21,4.786,4.484,63,25.5 | 01/01/2017 04:00,0.733,1.2,4.897,5.042,68,25.5 | 01/01/2017 04:30,0.711,1.29,5.019,8.439,66,25.5
10:36:52 | bbn | 01/01/2017 05:00,0.698,1.11,4.867,4.584,64,25.55 | 01/01/2017 05:30,0.686,1.14,4.755,5.211,56,25.55 | 01/01/2017 06:00,0.721,1.12,4.843,5.813,67,25.5 | 01/01/2017 06:30,0.679,1.22,4.948,4.71,81,25.45 | 01/01/2017 07:00,0.66,1.08,5.068,5.353,90,25.45
10:37:02 | bbn | 01/01/2017 07:30,0.662,1.18,5.263,7.436,67,25.4 | 01/01/2017 08:00,0.653,1.21,5.007,6.001,90,25.45 | 01/01/2017 08:30,0.665,1.17,4.952,6.414,90,25.55 | 01/01/2017 09:00,0.684,1.55,5.022,6.691,88,25.6 | 01/01/2017 09:30,0.679,1.09,4.926,6.804,88,25.65
10:37:12 | bbn | 01/01/2017 10:00,0.667,1.12,4.928,6.641,122,25.75 | 01/01/2017 10:30,0.688,1.13,4.808,5.958,91,25.7 | 01/01/2017 11:00,0.644,0.99,4.559,6.691,92,25.9 | 01/01/2017 11:30,0.694,1.18,4.442,7.122,98,25.7 | 01/01/2017 12:00,0.707,1.59,4.314,7.019,97,26
10:37:22 | bbn | 01/01/2017 12:30,0.714,1.37,4.14,8.154,88,26.05 | 01/01/2017 13:00,0.739,1.19,4.149,5.668,98,26.05 | 01/01/2017 13:30,0.846,1.51,3.961,7.055,81,26.05 | 01/01/2017 14:00,0.815,1.23,3.963,3.833,73,26.05 | 01/01/2017 14:30,0.903,1.63,4.072,3.652,53,26.15
10:37:32 | bbn | 01/01/2017 15:00,0.908,1.48,3.933,3.886,50,26.3 | 01/01/2017 15:30,0.957,1.56,4.105,4.397,43,26.4 | 01/01/2017 16:00,0.996,1.605,4.121,5.468,45,26.4 | 01/01/2017 16:30,1.08,1.78,4.21,4.589,70,26.35 | 01/01/2017 17:00,1.078,1.86,4.285,5.18,40,26.4
10:39:05 | bbl | 01/01/2017 00:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9 | 01/01/2017 00:30,0.875,1.39,4.421,4.506,-99.9,-99.9 | 01/01/2017 01:00,0.763,1.15,4.52,5.513,49,25.65 | 01/01/2017 01:30,0.77,1.41,4.582,5.647,75,25.5 | 01/01/2017 02:00,0.747,1.16,4.515,5.083,91,25.45
10:39:15 | bbl | 01/01/2017 02:30,0.718,1.61,4.614,6.181,68,25.45 | 01/01/2017 03:00,0.707,1.34,4.568,4.705,73,25.5 | 01/01/2017 03:30,0.729,1.21,4.786,4.484,63,25.5 | 01/01/2017 04:00,0.733,1.2,4.897,5.042,68,25.5 | 01/01/2017 04:30,0.711,1.29,5.019,8.439,66,25.5
10:52:55 | tyy | 01/01/2017 00:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9 | 01/01/2017 00:30,0.875,1.39,4.421,4.506,-99.9,-99.9 | 01/01/2017 01:00,0.763,1.15,4.52,5.513,49,25.65 | 01/01/2017 01:30,0.77,1.41,4.582,5.647,75,25.5 | 01/01/2017 02:00,0.747,1.16,4.515,5.083,91,25.45
10:53:05 | tyy | 01/01/2017 02:30,0.718,1.61,4.614,6.181,68,25.45 | 01/01/2017 03:00,0.707,1.34,4.568,4.705,73,25.5 | 01/01/2017 03:30,0.729,1.21,4.786,4.484,63,25.5 | 01/01/2017 04:00,0.733,1.2,4.897,5.042,68,25.5 | 01/01/2017 04:30,0.711,1.29,5.019,8.439,66,25.5
10:58:09 | ssd | 01/01/2017 00:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9 | 01/01/2017 00:30,0.875,1.39,4.421,4.506,-99.9,-99.9 | 01/01/2017 01:00,0.763,1.15,4.52,5.513,49,25.65 | 01/01/2017 01:30,0.77,1.41,4.582,5.647,75,25.5 | 01/01/2017 02:00,0.747,1.16,4.515,5.083,91,25.45
10:58:19 | ssd | 01/01/2017 02:30,0.718,1.61,4.614,6.181,68,25.45 | 01/01/2017 03:00,0.707,1.34,4.568,4.705,73,25.5 | 01/01/2017 03:30,0.729,1.21,4.786,4.484,63,25.5 | 01/01/2017 04:00,0.733,1.2,4.897,5.042,68,25.5 | 01/01/2017 04:30,0.711,1.29,5.019,8.439,66,25.5
10:58:29 | ssd | 01/01/2017 05:00,0.698,1.11,4.867,4.584,64,25.55 | 01/01/2017 05:30,0.686,1.14,4.755,5.211,56,25.55 | 01/01/2017 06:00,0.721,1.12,4.843,5.813,67,25.5 | 01/01/2017 06:30,0.679,1.22,4.948,4.71,81,25.45 | 01/01/2017 07:00,0.66,1.08,5.068,5.353,90,25.45
10:58:39 | ssd | 01/01/2017 07:30,0.662,1.18,5.263,7.436,67,25.4 | 01/01/2017 08:00,0.653,1.21,5.007,6.001,90,25.45 | 01/01/2017 08:30,0.665,1.17,4.952,6.414,90,25.55 | 01/01/2017 09:00,0.684,1.55,5.022,6.691,88,25.6 | 01/01/2017 09:30,0.679,1.09,4.926,6.804,88,25.65
10:58:49 | ssd | 01/01/2017 10:00,0.667,1.12,4.928,6.641,122,25.75 | 01/01/2017 10:30,0.688,1.13,4.808,5.958,91,25.7 | 01/01/2017 11:00,0.644,0.99,4.559,6.691,92,25.9 | 01/01/2017 11:30,0.694,1.18,4.442,7.122,98,25.7 | 01/01/2017 12:00,0.707,1.59,4.314,7.019,97,26
10:59:55 | zcv | 01/01/2017 00:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9 | 01/01/2017 00:30,0.875,1.39,4.421,4.506,-99.9,-99.9 | 01/01/2017 01:00,0.763,1.15,4.52,5.513,49,25.65 | 01/01/2017 01:30,0.77,1.41,4.582,5.647,75,25.5 | 01/01/2017 02:00,0.747,1.16,4.515,5.083,91,25.45
11:01:43 | nnb | 01/01/2017 00:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9 | 01/01/2017 00:30,0.875,1.39,4.421,4.506,-99.9,-99.9 | 01/01/2017 01:00,0.763,1.15,4.52,5.513,49,25.65 | 01/01/2017 01:30,0.77,1.41,4.582,5.647,75,25.5 | 01/01/2017 02:00,0.747,1.16,4.515,5.083,91,25.45
11:01:53 | nnb | 01/01/2017 02:30,0.718,1.61,4.614,6.181,68,25.45 | 01/01/2017 03:00,0.707,1.34,4.568,4.705,73,25.5 | 01/01/2017 03:30,0.729,1.21,4.786,4.484,63,25.5 | 01/01/2017 04:00,0.733,1.2,4.897,5.042,68,25.5 | 01/01/2017 04:30,0.711,1.29,5.019,8.439,66,25.5
